cert,name,city,state,failure_date,pre_failure_assets,pre_failure_deposits,resolution_type,estimated_loss
57488,METROPOLITAN CAPITAL B&T,CHICAGO,,1/30/2026,261185,212152,FAILURE,
5520,SANTA ANNA NATIONAL BANK,SANTA ANNA,,6/27/2025,76938,71376,FAILURE,23460
28611,PULASKI SAVINGS BANK,CHICAGO,,1/17/2025,49466,42741,FAILURE,30284
4134,FIRST NB OF LINDSAY,LINDSAY,,10/18/2024,107850,97515,FAILURE,47303
27332,REPUBLIC BANK,PHILADELPHIA,,4/26/2024,5866190,4373927,FAILURE,719903
8758,CITIZENS BANK,SAC CITY,,11/3/2023,60448,52311,FAILURE,14596
25851,HEARTLAND TRI-STATE BANK,ELKHART,,7/28/2023,139446,130110,FAILURE,43727
59017,FIRST REPUBLIC BANK,SAN FRANCISCO,,5/1/2023,212638872,176436706,FAILURE,15753256
57053,SIGNATURE BANK,NEW YORK,,3/12/2023,110363650,88612911,FAILURE,0
24735,SILICON VALLEY BANK,SANTA CLARA,,3/10/2023,209026000,175378000,FAILURE,18959624
15426,ALMENA STATE BANK,ALMENA,,10/23/2020,65733,64941,FAILURE,15861
16748,FIRST CITY BANK OF FLORIDA,FORT WALTON BEACH,,10/16/2020,136566,133936,FAILURE,7247
14361,THE FIRST STATE BANK,BARBOURSVILLE,,4/3/2020,151808,143102,FAILURE,43620
18265,ERICSON STATE BANK,ERICSON,,2/14/2020,100879,95159,FAILURE,23279
21111,CITY NATIONAL BANK OF NEW JERSEY,NEWARK,,11/1/2019,120574,111234,FAILURE,2098
58112,LOUISA COMMUNITY BANK,LOUISA,,10/25/2019,28163,25174,FAILURE,4264
58317,RESOLUTE BANK,MAUMEE,,10/25/2019,23292,22885,FAILURE,1571
10716,ENLOE STATE BANK,COOPER,,5/31/2019,36738,31254,FAILURE,18263
30570,WASHINGTON FEDERAL BANK FOR SAVINGS,CHICAGO,,12/15/2017,166345,143964,FAILURE,75282
17719,THE FARMERS AND MERCHANTS STATE BANK OF ARGONIA,ARGONIA,,10/13/2017,33012,27466,FAILURE,280
1802,FAYETTE COUNTY BANK,SAINT ELMO,,5/26/2017,34370,33972,FAILURE,8088
30003,GUARANTY BANK,MILWAUKEE,,5/5/2017,1031900,1002026,FAILURE,131962
58302,FIRST NBC BANK,NEW ORLEANS,,4/28/2017,3325870,3032208,FAILURE,753398
35495,PROFICIO BANK,COTTONWOOD HEIGHTS,,3/3/2017,68208,65042,FAILURE,10121
19328,SEAWAY BANK AND TRUST COMPANY,CHICAGO,,1/27/2017,297809,256505,FAILURE,43691
34951,HARVEST COMMUNITY BANK,PENNSVILLE,,1/13/2017,124223,122177,FAILURE,22158
91,ALLIED BANK,MULBERRY,,9/23/2016,66336,64713,FAILURE,6213
11297,THE WOODBURY BANKING COMPANY,WOODBURY,,8/19/2016,21426,21122,FAILURE,3290
35312,FIRST CORNERSTONE BANK,KING OF PRUSSIA,,5/6/2016,103307,101040,FAILURE,10825
9956,TRUST COMPANY BANK,MEMPHIS,,4/29/2016,18998,20148,FAILURE,10372
20364,NORTH MILWAUKEE STATE BANK,MILWAUKEE,,3/11/2016,67115,61493,FAILURE,11773
35156,HOMETOWN NATIONAL BANK,LONGVIEW,,10/2/2015,3785,3705,FAILURE,995
35259,THE BANK OF GEORGIA,PEACHTREE CITY,,10/2/2015,286102,264234,FAILURE,27760
34112,PREMIER BANK,DENVER,,7/10/2015,26760,25480,FAILURE,1210
57772,EDGEBROOK BANK,CHICAGO,,5/8/2015,90034,90007,FAILURE,20647
32102,DORAL BANK,SAN JUAN,,2/27/2015,5898515,4097734,FAILURE,690704
33938,CAPITOL CITY BANK & TRUST COMPANY,ATLANTA,,2/13/2015,272311,262652,FAILURE,95942
20290,HIGHLAND COMMUNITY BANK,CHICAGO,,1/23/2015,54727,53453,FAILURE,4743
17557,FIRST NATIONAL BANK OF CRESTVIEW,CRESTVIEW,,1/16/2015,73804,73199,FAILURE,6329
34983,NORTHERN STAR BANK,MANKATO,,12/19/2014,18794,18221,FAILURE,3946
34738,"FRONTIER BANK, FSB",PALM DESERT,,11/7/2014,80736,76344,FAILURE,2905
916,THE NATIONAL REPUBLIC BANK OF CHICAGO,CHICAGO,,10/24/2014,843118,809638,FAILURE,54424
4862,NBRS FINANCIAL BANK,RISING SUN,,10/17/2014,155353,151559,FAILURE,19837
28462,"GREENCHOICE BANK, FSB",CHICAGO,,7/25/2014,70286,68722,FAILURE,18412
58125,EASTSIDE COMMERCIAL BANK,CONYERS,,7/18/2014,173946,166875,FAILURE,38334
12483,THE FREEDOM STATE BANK,FREEDOM,,6/27/2014,22816,20855,FAILURE,3734
10450,VALLEY BANK,MOLINE,,6/20/2014,456442,359953,FAILURE,47807
21793,VALLEY BANK,FORT LAUDERDALE,,6/20/2014,81843,66541,FAILURE,5439
32368,SLAVIE FEDERAL SAVINGS BANK,BEL AIR,,5/30/2014,140063,111142,FAILURE,10954
32284,COLUMBIA SAVINGS BANK,CINCINNATI,,5/23/2014,36484,29538,FAILURE,7224
57866,AZTECAMERICA BANK,BERWYN,,5/16/2014,66309,65031,FAILURE,21715
15062,ALLENDALE COUNTY BANK,FAIRFAX,,4/25/2014,49498,49356,FAILURE,22149
35096,"MILLENNIUM BANK, NATIONAL ASSOCIATION",STERLING,,2/28/2014,130305,121704,FAILURE,10940
58531,VANTAGE POINT BANK,HORSHAM,,2/28/2014,63453,62472,FAILURE,8956
34296,SYRINGA BANK,BOISE,,1/31/2014,153361,145813,FAILURE,3487
17967,THE  BANK OF UNION,EL RENO,,1/24/2014,317172,315843,FAILURE,93335
5732,DUPAGE NATIONAL BANK,WEST CHICAGO,,1/17/2014,53524,51878,FAILURE,1530
57431,"TEXAS COMMUNITY BANK, NATIONAL ASSOCIATION",THE WOODLANDS,,12/13/2013,159257,142640,FAILURE,14203
14794,BANK OF JACKSON COUNTY,GRACEVILLE,,10/30/2013,24724,24591,FAILURE,5849
14318,FIRST NATIONAL BANK,EDINBURG,,9/13/2013,3085764,2338335,FAILURE,616177
57041,THE COMMUNITY'S BANK,BRIDGEPORT,,9/13/2013,26368,25715,FAILURE,9211
19849,COMMUNITY SOUTH BANK,PARSONS,,8/23/2013,386908,377672,FAILURE,129719
34707,SUNRISE BANK OF ARIZONA,PHOENIX,,8/23/2013,202179,196924,FAILURE,15391
35016,BANK OF WAUSAU,WAUSAU,,8/9/2013,43564,40663,FAILURE,13428
34943,FIRST COMMUNITY BANK OF SOUTHWEST FLORIDA,FORT MYERS,,8/2/2013,247315,243618,FAILURE,24921
34789,MOUNTAIN NATIONAL BANK,SEVIERVILLE,,6/7/2013,437282,373366,FAILURE,33292
58358,1st COMMERCE BANK,NORTH LAS VEGAS,,6/6/2013,20152,19579,FAILURE,5208
35386,BANKS OF WISCONSIN,KENOSHA,,5/31/2013,134024,127590,FAILURE,22473
34527,CENTRAL ARIZONA BANK,SCOTTSDALE,,5/14/2013,31550,30822,FAILURE,5425
58185,SUNRISE BANK,VALDOSTA,,5/10/2013,60793,57775,FAILURE,16002
58701,PISGAH COMMUNITY BANK,ASHEVILLE,,5/10/2013,21880,21246,FAILURE,7943
21649,DOUGLAS COUNTY BANK,DOUGLASVILLE,,4/26/2013,317288,315326,FAILURE,89606
57158,PARKWAY BANK,LENOIR,,4/26/2013,109642,104709,FAILURE,16490
26680,HERITAGE BANK OF NORTH FLORIDA,ORANGE PARK,,4/19/2013,103960,106348,FAILURE,25231
29594,FIRST FEDERAL BANK,LEXINGTON,,4/19/2013,92982,87196,FAILURE,7767
58034,CHIPOLA COMMUNITY BANK,MARIANNA,,4/19/2013,37471,37067,FAILURE,7920
58066,GOLD CANYON BANK,GOLD CANYON,,4/5/2013,42125,41728,FAILURE,8263
16431,FRONTIER BANK,LAGRANGE,,3/8/2013,258840,224108,FAILURE,73446
22476,COVENANT BANK,CHICAGO,,2/15/2013,58422,54202,FAILURE,19576
57157,1ST REGENTS BANK,ANDOVER,,1/18/2013,49626,49147,FAILURE,12229
33997,WESTSIDE COMMUNITY BANK,UNIVERSITY PLACE,,1/11/2013,91935,91879,FAILURE,22860
27331,COMMUNITY BANK OF THE OZARKS,SUNRISE,,12/14/2012,42816,41881,FAILURE,13419
57928,HOMETOWN COMMUNITYBANK,BRASELTON,,11/16/2012,124561,108931,FAILURE,39665
3731,CITIZENS FIRST NATIONAL BANK,PRINCETON,,11/2/2012,923959,869440,FAILURE,32458
35009,HERITAGE BANK OF FLORIDA,LUTZ,,11/2/2012,225477,223309,FAILURE,73811
27148,NOVA BANK,BERWYN,,10/26/2012,444710,395248,FAILURE,85428
19189,EXCEL BANK,SEDALIA,,10/19/2012,186113,173670,FAILURE,29582
28144,FIRST EAST SIDE SAVINGS BANK,TAMARAC,,10/19/2012,65686,64888,FAILURE,12370
58073,GULFSOUTH PRIVATE BANK,DESTIN,,10/19/2012,139391,131579,FAILURE,40332
20685,FIRST UNITED BANK,CRETE,,9/28/2012,328422,316877,FAILURE,33841
27316,TRUMAN BANK,ST. LOUIS,,9/14/2012,282338,245716,FAILURE,39469
35246,FIRST COMMERCIAL BANK,BLOOMINGTON,,9/7/2012,215867,206809,FAILURE,65213
28243,WAUKEGAN SAVINGS BANK,WAUKEGAN,,8/3/2012,83679,73001,FAILURE,23518
16240,JASPER BANKING COMPANY,JASPER,,7/27/2012,206672,204238,FAILURE,49244
1361,HEARTLAND BANK,LEAWOOD,,7/20/2012,96002,89723,FAILURE,363
27986,SECOND FEDERAL SAVINGS AND LOAN ASSOCIATION OF CHICAGO,CHICAGO,,7/20/2012,190891,171627,FAILURE,86252
32711,FIRST CHEROKEE STATE BANK,WOODSTOCK,,7/20/2012,209021,182114,FAILURE,36215
57096,THE ROYAL PALM BANK OF FLORIDA,NAPLES,,7/20/2012,78771,78876,FAILURE,16848
57847,GEORGIA TRUST BANK,BUFORD,,7/20/2012,116890,114748,FAILURE,25335
1056,GLASGOW SAVINGS BANK,GLASGOW,,7/13/2012,22341,21809,FAILURE,1396
19498,MONTGOMERY BANK & TRUST,AILEY,,7/6/2012,153208,164181,FAILURE,65798
1690,THE FARMERS BANK OF LYNCHBURG,LYNCHBURG,,6/15/2012,163859,156402,FAILURE,33106
27405,PUTNAM STATE BANK,PALATKA,,6/15/2012,169489,160024,FAILURE,28751
35299,SECURITY EXCHANGE BANK,MARIETTA,,6/15/2012,150962,147896,FAILURE,44760
416,FIRST CAPITAL BANK,KINGFISHER,,6/8/2012,44448,44828,FAILURE,8725
9257,FARMERS' AND TRADERS' STATE BANK,SHABBONA,,6/8/2012,43077,42302,FAILURE,10243
34515,WACCAMAW BANK,WHITEVILLE,,6/8/2012,533114,472704,FAILURE,23756
35372,CAROLINA FEDERAL SAVINGS BANK,CHARLESTON,,6/8/2012,54373,53082,FAILURE,17630
35224,"ALABAMA TRUST BANK, NATIONAL ASSOCIATION",SYLACAUGA,,5/18/2012,51553,45149,FAILURE,10672
23156,"SECURITY BANK, NATIONAL ASSOCIATION",NORTH LAUDERDALE,,5/4/2012,101026,99067,FAILURE,15098
23632,PALM DESERT NATIONAL BANK,PALM DESERT,,4/27/2012,129253,129023,FAILURE,26331
26759,BANK OF THE EASTERN SHORE,CAMBRIDGE,,4/27/2012,162460,150951,FAILURE,57856
31495,"INTER SAVINGS BANK, FSB D/B/A/ INTERBANK, FSB",MAPLE GROVE,,4/27/2012,463840,458053,FAILURE,79681
32503,PLANTATION FEDERAL BANK,PAWLEYS ISLAND,,4/27/2012,433512,415943,FAILURE,83230
57766,HARVEST BANK OF MARYLAND,GAITHERSBURG,,4/27/2012,163019,145534,FAILURE,26694
35527,"FORT LEE FEDERAL SAVINGS BANK, FSB",FORT LEE,,4/20/2012,48861,47786,FAILURE,11925
33883,FIDELITY BANK,DEARBORN,,3/30/2012,818237,747640,FAILURE,97229
35419,PREMIER BANK,WILMETTE,,3/23/2012,268703,198953,FAILURE,69338
58068,CONVENANT BANK & TRUST,ROCK SPRING,,3/23/2012,95725,90632,FAILURE,30279
57597,NEW CITY BANK,CHICAGO,,3/9/2012,71202,72399,FAILURE,13227
34046,GLOBAL COMMERCE BANK,DORAVILLE,,3/2/2012,143678,116813,FAILURE,40289
5687,CENTRAL BANK OF GEORGIA,ELLAVILLE,,2/24/2012,278860,266589,FAILURE,51763
29178,HOME SAVINGS OF AMERICA,LITTLE FALLS,,2/24/2012,434111,432223,FAILURE,43037
23187,CHARTER NATIONAL BANK AND TRUST,HOFFMAN ESTATES,,2/10/2012,93894,89485,FAILURE,18454
29761,SCB BANK,SHELBYVILLE,,2/10/2012,182561,171365,FAILURE,38269
16579,FIRST GUARANTY BANK AND TRUST COMPANY OF JACKSONVILLE,JACKSONVILLE,,1/27/2012,397082,378309,FAILURE,54383
19869,BANKEAST,KNOXVILLE,,1/27/2012,261947,259571,FAILURE,74064
34823,PATRIOT BANK MINNESOTA,FOREST LAKE,,1/27/2012,105029,102833,FAILURE,35346
35296,TENNESSEE COMMERCE BANK,FRANKLIN,,1/27/2012,1009154,1037716,FAILURE,351815
19252,THE FIRST STATE BANK,STOCKBRIDGE,,1/20/2012,516760,509065,FAILURE,192145
31581,AMERICAN EAGLE SAVINGS BANK,BOOTHWYN,,1/20/2012,19259,17548,FAILURE,4671
57186,CENTRAL FLORIDA STATE BANK,BELLEVIEW,,1/20/2012,71485,71080,FAILURE,13697
57917,WESTERN NATIONAL BANK,PHOENIX,,12/16/2011,162872,144491,FAILURE,41735
58343,PREMIER COMMUNITY BANK OF THE EMERALD COAST,CRESTVIEW,,12/16/2011,125976,112050,FAILURE,25065
14194,POLK COUNTY BANK,JOHNSTON,,11/18/2011,91580,81967,FAILURE,16053
19657,CENTRAL PROGRESSIVE BANK,LACOMBE,,11/18/2011,383132,347720,FAILURE,48824
57860,COMMUNITY BANK OF ROCKMART,ROCKMART,,11/10/2011,62383,55906,FAILURE,20301
19397,"MID CITY BANK, INC.",OMAHA,,11/4/2011,106075,105461,FAILURE,10944
57087,SUNFIRST BANK,SAINT GEORGE,,11/4/2011,198081,169135,FAILURE,43575
57759,ALL AMERICAN BANK,DES PLAINES,,10/28/2011,34800,30542,FAILURE,13753
21132,COMMUNITY BANKS OF COLORADO,GREENWOOD VILLAGE,,10/21/2011,1280964,1239630,FAILURE,169247
34392,DECATUR FIRST BANK,DECATUR,,10/21/2011,184750,172042,FAILURE,24568
57036,COMMUNITY CAPITAL BANK,JONESBORO,,10/21/2011,165291,157808,FAILURE,64965
57537,OLD HARBOR BANK,CLEARWATER,,10/21/2011,209048,212184,FAILURE,26299
32347,"BLUE RIDGE SAVINGS BANK, INC.",ASHEVILLE,,10/14/2011,161430,159628,FAILURE,44112
35395,COUNTRY BANK,ALEDO,,10/14/2011,195034,180835,FAILURE,69305
57256,PIEDMONT COMMUNITY BANK,GRAY,,10/14/2011,198993,178773,FAILURE,88194
58046,FIRST STATE BANK,CRANFORD,,10/14/2011,191852,188099,FAILURE,45629
10216,THE RIVERBANK,WYOMING,,10/7/2011,419723,384120,FAILURE,71176
20115,SUN SECURITY BANK,ELLINGTON,,10/7/2011,351492,280649,FAILURE,93109
33513,FIRST INTERNATIONAL BANK,PLANO,,9/30/2011,239916,208775,FAILURE,58022
20408,BANK OF THE COMMONWEALTH,NORFOLK,,9/23/2011,985096,901845,FAILURE,238719
33983,CITIZENS BANK OF NORTHERN CALIFORNIA,NEVADA CITY,,9/23/2011,288765,253079,FAILURE,40895
25155,THE FIRST NATIONAL BANK OF FLORIDA,MILTON,,9/9/2011,296841,280095,FAILURE,75749
58226,CREEKSIDE BANK,WOODSTOCK,,9/2/2011,102338,96583,FAILURE,33845
58273,PATRIOT BANK OF GEORGIA,CUMMING,,9/2/2011,150751,140612,FAILURE,54248
35356,LYDIAN PRIVATE BANK,PALM BEACH,,8/19/2011,1700117,1253835,FAILURE,183624
57212,FIRST CHOICE BANK,GENEVA,,8/19/2011,141016,137215,FAILURE,34064
57239,FIRST SOUTHERN NATIONAL BANK,STATESBORO,,8/19/2011,164599,159673,FAILURE,22171
34130,PUBLIC SAVINGS BANK,HUNTINGDON VALLEY,,8/18/2011,46818,45770,FAILURE,15828
4744,THE FIRST NATIONAL BANK OF OLATHE,OLATHE,,8/12/2011,538091,524290,FAILURE,103328
22528,BANK OF WHITMAN,COLFAX,,8/5/2011,548570,515732,FAILURE,100914
22637,BANK OF SHOREWOOD,SHOREWOOD,,8/5/2011,110723,104021,FAILURE,29378
4392,INTEGRA BANK NATIONAL ASSOCIATION,EVANSVILLE,,7/29/2011,1994430,1693592,FAILURE,26334
58222,"BANKMERIDIAN, N.A.",COLUMBIA,,7/29/2011,232648,209737,FAILURE,49181
58283,VIRGINIA BUSINESS BANK,RICHMOND,,7/29/2011,83493,72955,FAILURE,19851
2994,BANK OF CHOICE,GREELEY,,7/22/2011,954106,818670,FAILURE,135593
35244,LANDMARK BANK OF FLORIDA,SARASOTA,,7/22/2011,266482,244362,FAILURE,37389
58056,SOUTHSHORE COMMUNITY BANK,APOLLO BEACH,,7/22/2011,41252,41434,FAILURE,11403
19554,HIGH TRUST BANK,STOCKBRIDGE,,7/15/2011,180340,177221,FAILURE,70772
34870,FIRST PEOPLES BANK,PORT SAINT LUCIE,,7/15/2011,225035,207621,FAILURE,13110
57442,SUMMIT BANK,PRESCOTT,,7/15/2011,73066,67471,FAILURE,14868
58238,ONE GEORGIA BANK,ATLANTA,,7/15/2011,177715,158123,FAILURE,40555
27935,FIRST CHICAGO BANK & TRUST,CHICAGO,,7/8/2011,896864,830530,FAILURE,192899
34522,COLORADO CAPITAL BANK,CASTLE ROCK,,7/8/2011,665806,635202,FAILURE,254944
57835,SIGNATURE  BANK,WINDSOR,,7/8/2011,62518,60349,FAILURE,23311
57593,MOUNTAIN HERITAGE BANK,CLAYTON,,6/24/2011,103716,89554,FAILURE,34480
19237,MCINTOSH STATE BANK,JACKSON,,6/17/2011,339929,324403,FAILURE,75418
27583,FIRST COMMERCIAL BANK OF TAMPA BAY,TAMPA,,6/17/2011,98624,92641,FAILURE,33477
58420,ATLANTIC BANK AND TRUST,CHARLESTON,,6/3/2011,208204,191614,FAILURE,31204
23626,FIRST HERITAGE BANK,SNOHOMISH,,5/27/2011,173478,163303,FAILURE,33596
513,SUMMIT BANK,BURLINGTON,,5/20/2011,142729,131631,FAILURE,24195
57213,ATLANTIC SOUTHERN BANK,MACON,,5/20/2011,741855,707643,FAILURE,280971
57647,FIRST GEORGIA BANKING COMPANY,FRANKLIN,,5/20/2011,730981,702231,FAILURE,134595
34898,COASTAL BANK,COCOA BEACH,,5/6/2011,129429,123950,FAILURE,18527
19797,THE PARK AVENUE BANK,VALDOSTA,,4/29/2011,849409,724483,FAILURE,212045
26297,FIRST NATIONAL BANK OF CENTRAL FLORIDA,WINTER PARK,,4/29/2011,342079,308784,FAILURE,42899
34234,COMMUNITY CENTRAL BANK,MOUNT CLEMENS,,4/29/2011,451683,371494,FAILURE,98636
57625,CORTEZ COMMUNITY  BANK,BROOKSVILLE,,4/29/2011,66282,65439,FAILURE,17194
58539,FIRST CHOICE COMMUNITY BANK,DALLAS,,4/29/2011,291196,294769,FAILURE,105180
14273,HERITAGE BANKING GROUP,CARTHAGE,,4/15/2011,228328,205035,FAILURE,37841
17750,SUPERIOR BANK,BIRMINGHAM,,4/15/2011,2977290,2736201,FAILURE,281381
19794,NEXITY BANK,BIRMINGHAM,,4/15/2011,757574,611681,FAILURE,182002
21495,BARTOW COUNTY BANK,CARTERSVILLE,,4/15/2011,314019,290005,FAILURE,83037
24099,ROSEMOUNT NATIONAL BANK,ROSEMOUNT,,4/15/2011,21454,20980,FAILURE,5398
57705,NEW HORIZONS BANK,EAST ELLIJAY,,4/15/2011,103055,99022,FAILURE,34708
10086,WESTERN SPRINGS NATIONAL BANK AND TRUST,WESTERN SPRINGS,,4/8/2011,186677,182441,FAILURE,38047
35418,NEVADA COMMERCE BANK,LAS VEGAS,,4/8/2011,135064,128573,FAILURE,38492
34292,THE BANK OF COMMERCE,WOOD DALE,,3/25/2011,163074,161379,FAILURE,44142
4077,THE FIRST NATIONAL BANK OF DAVIS,DAVIS,,3/11/2011,90183,68331,FAILURE,29846
34818,LEGACY BANK,MILWAUKEE,,3/11/2011,190418,183309,FAILURE,73718
34187,VALLEY COMMUNITY BANK,ST. CHARLES,,2/25/2011,123774,124179,FAILURE,28270
151,HABERSHAM BANK,CLARKESVILLE,,2/18/2011,387681,339934,FAILURE,119370
34601,CITIZENS BANK OF EFFINGHAM,SPRINGFIELD,,2/18/2011,214275,206490,FAILURE,48229
34783,"SAN LUIS TRUST BANK, FSB",SAN LUIS OBISPO,,2/18/2011,332596,272216,FAILURE,72906
57855,CHARTER OAK BANK,NAPA,,2/18/2011,120833,105309,FAILURE,20076
13272,BADGER STATE BANK,CASSVILLE,,2/11/2011,83828,78549,FAILURE,19454
14939,PEOPLES STATE BANK,HAMTRAMCK,,2/11/2011,390524,389868,FAILURE,103057
34692,CANYON NATIONAL BANK,PALM SPRINGS,,2/11/2011,210859,205285,FAILURE,15617
35478,SUNSHINE STATE COMMUNITY BANK,PORT ORANGE,,2/11/2011,125531,116715,FAILURE,32294
35242,NORTH GEORGIA BANK,WATKINSVILLE,,2/4/2011,153172,139672,FAILURE,48161
57432,AMERICAN TRUST BANK,ROSWELL,,2/4/2011,238205,222161,FAILURE,69323
57948,COMMUNITY FIRST BANK - CHICAGO,CHICAGO,,2/4/2011,51083,49504,FAILURE,10213
2303,THE FIRST STATE BANK,CAMARGO,,1/28/2011,44546,41204,FAILURE,33590
5328,EVERGREEN STATE BANK,STOUGHTON,,1/28/2011,240949,193694,FAILURE,28060
12261,FIRST COMMUNITY BANK,TAOS,,1/28/2011,2188154,1847851,FAILURE,230712
57646,FIRSTIER BANK,LOUISVILLE,,1/28/2011,764090,718797,FAILURE,232851
19758,ENTERPRISE BANKING COMPANY,MCDONOUGH,,1/21/2011,99461,94591,FAILURE,43538
31293,UNITED WESTERN BANK,DENVER,,1/21/2011,2153690,1535194,FAILURE,133359
34516,THE BANK OF ASHEVILLE,ASHEVILLE,,1/21/2011,204925,199394,FAILURE,43945
57868,COMMUNITYSOUTH BANK AND TRUST,EASLEY,,1/21/2011,340986,314250,FAILURE,45189
57440,OGLETHORPE BANK,BRUNSWICK,,1/14/2011,211149,201369,FAILURE,84066
34965,FIRST COMMERCIAL BANK OF FLORIDA,ORLANDO,,1/7/2011,578638,537223,FAILURE,88904
57820,LEGACY BANK,SCOTTSDALE,,1/7/2011,136446,119685,FAILURE,32224
19040,THE BANK OF MIAMI,CORAL GABLES,,12/17/2010,448150,374218,FAILURE,28965
23306,COMMUNITY NATIONAL BANK,LINO LAKES,,12/17/2010,31569,28844,FAILURE,5827
34578,CHESTATEE STATE BANK,DAWSONVILLE,,12/17/2010,244376,240476,FAILURE,83075
35065,UNITED AMERICAS BANK,ATLANTA,,12/17/2010,242339,193803,FAILURE,96415
58052,FIRST SOUTHERN BANK,BATESVILLE,,12/17/2010,191764,155803,FAILURE,24771
58495,"APPALACIAN COMMUNITY BANK, F.S.B.",MCCAYSVILLE,,12/17/2010,68201,76360,FAILURE,28452
34673,PARAMOUNT BANK,FARMINGTON HILLS,,12/10/2010,252744,213550,FAILURE,68586
35561,EARTHSTAR BANK,SOUTHAMPTON,,12/10/2010,112643,104505,FAILURE,22495
5287,FIRST BANKING CENTER,BURLINGTON,,11/19/2010,750724,664752,FAILURE,86071
20340,GULF STATE COMMUNITY BANK,CARRABELLE,,11/19/2010,112144,112193,FAILURE,44443
35078,ALLEGIANCE BANK OF NORTH AMERICA,BALA CYNWYD,,11/19/2010,106595,91996,FAILURE,12652
14580,DARBY BANK & TRUST COMPANY,VIDALIA,,11/12/2010,654714,587626,FAILURE,125908
35463,COPPER STAR BANK,SCOTTSDALE,,11/12/2010,203955,190182,FAILURE,52561
57831,TIFTON BANKING COMPANY,TIFTON,,11/12/2010,143729,141573,FAILURE,21383
31263,K BANK,RANDALLSTOWN,,11/5/2010,538258,500056,FAILURE,136316
34411,PIERCE COMMERCIAL BANK,TACOMA,,11/5/2010,221082,193473,FAILURE,26754
57885,FIRST VIETNAMESE AMERICAN BANK,WESTMINSTER,,11/5/2010,48000,47012,FAILURE,14264
58087,WESTERN COMMERCIAL BANK,WOODLAND HILLS,,11/5/2010,98635,101127,FAILURE,16943
2119,THE FIRST NATIONAL BANK OF BARNESVILLE,BARNESVILLE,,10/22/2010,126622,122880,FAILURE,46897
16089,FIRST SUBURBAN NATIONAL BANK,MAYWOOD,,10/22/2010,143451,135475,FAILURE,44303
22173,HILLCREST BANK,OVERLAND PARK,,10/22/2010,1583611,1488785,FAILURE,275262
27573,FIRST BANK OF JACKSONVILLE,JACKSONVILLE,,10/22/2010,73922,72198,FAILURE,14277
32251,PROGRESS BANK OF FLORIDA,TAMPA,,10/22/2010,94823,86861,FAILURE,34562
32582,"FIRST ARIZONA SAVINGS, A FSB",SCOTTSDALE,,10/22/2010,255920,190615,FAILURE,26776
33904,THE GORDON BANK,GORDON,,10/22/2010,29259,26867,FAILURE,10354
30898,"SECURITY SAVINGS BANK, F.S.B.",OLATHE,,10/15/2010,453349,347080,FAILURE,53100
34016,PREMIER BANK,JEFFERSON CITY,,10/15/2010,989382,869367,FAILURE,308543
58205,WESTBRIDGE BANK AND TRUST COMPANY,CHESTERFIELD,,10/15/2010,87782,70131,FAILURE,22436
21777,WAKULLA BANK,CRAWFORDVILLE,,10/1/2010,402205,367228,FAILURE,119933
35250,SHORELINE BANK,SHORELINE,,10/1/2010,92980,90644,FAILURE,23478
35053,NORTH COUNTY BANK,ARLINGTON,,9/24/2010,288776,276081,FAILURE,70800
58308,HAVEN TRUST BANK FLORIDA,PONTE VEDRA BEACH,,9/24/2010,148575,133561,FAILURE,34827
182,THE PEOPLES BANK,WINDER,,9/17/2010,447185,398181,FAILURE,101852
27808,BRAMBLE SAVINGS BANK,MILFORD,,9/17/2010,47523,41551,FAILURE,17928
28612,MARITIME SAVINGS BANK,WEST ALLIS,,9/17/2010,350488,248134,FAILURE,88384
57107,ISN BANK,CHERRY HILL,,9/17/2010,81564,79652,FAILURE,18856
57448,FIRST COMMERCE COMMUNITY BANK,DOUGLASVILLE,,9/17/2010,248151,242831,FAILURE,101039
58197,THE BANK OF ELLIJAY,ELLIJAY,,9/17/2010,168820,160718,FAILURE,79709
35061,HORIZON BANK,BRADENTON,,9/10/2010,187819,164594,FAILURE,61295
15640,SHOREBANK,CHICAGO,,8/20/2010,2166431,1547403,FAILURE,525962
25266,COMMUNITY NATIONAL BANK AT BARTOW,BARTOW,,8/20/2010,67918,63708,FAILURE,9170
27090,PACIFIC STATE BANK,STOCKTON,,8/20/2010,312077,278832,FAILURE,34038
27259,SONOMA VALLEY BANK,SONOMA,,8/20/2010,337113,255501,FAILURE,10285
27344,INDEPENDENT NATIONAL BANK,OCALA,,8/20/2010,156218,141877,FAILURE,11982
31623,IMPERIAL SAVINGS AND LOAN ASSOCIATION,MARTINSVILLE,,8/20/2010,9448,10090,FAILURE,4746
32165,LOS PADRES BANK,SOLVANG,,8/20/2010,866459,770899,FAILURE,3434
33219,BUTTE COMMUNITY BANK,CHICO,,8/20/2010,498751,471256,FAILURE,1663
17599,PALOS BANK AND TRUST COMPANY,PALOS HEIGHTS,,8/13/2010,493391,467784,FAILURE,66962
34231,RAVENSWOOD BANK,CHICAGO,,8/6/2010,264628,269448,FAILURE,67728
9619,COASTAL COMMUNITY BANK,PANAMA CITY BEACH,,7/30/2010,377469,370016,FAILURE,116866
22643,THE COWLITZ BANK,LONGVIEW,,7/30/2010,489019,474742,FAILURE,31361
31964,LIBERTYBANK,EUGENE,,7/30/2010,714574,692670,FAILURE,50954
