cert,name,city,state,failure_date,pre_failure_assets,pre_failure_deposits,resolution_type,estimated_loss
8265,BANK OF LEETON,LEETON,,1/22/2010,20128,20335,FAILURE,7092
20501,EVERGREEN BANK,SEATTLE,,1/22/2010,395980,340378,FAILURE,43422
22469,COLUMBIA RIVER BANK,THE DALLES,,1/22/2010,955112,908132,FAILURE,54899
32498,CHARTER BANK,SANTA FE,,1/22/2010,1201922,859933,FAILURE,127197
57147,PREMIER AMERICAN BANK,MIAMI,,1/22/2010,299225,285554,FAILURE,84454
1252,BARNES BANKING COMPANY,KAYSVILLE,,1/15/2010,709171,697109,FAILURE,106769
17522,ST. STEPHEN STATE BANK,ST. STEPHEN,,1/15/2010,22895,23912,FAILURE,7707
34705,TOWN COMMUNITY BANK AND TRUST,ANTIOCH,,1/15/2010,70758,68323,FAILURE,23289
22977,HORIZON BANK,BELLINGHAM,,1/8/2010,1188956,1049063,FAILURE,205488
1006,CITIZENS STATE BANK,NEW BALTIMORE,,12/18/2009,168551,157149,FAILURE,68171
26348,IMPERIAL CAPITAL BANK,LA JOLLA,,12/18/2009,4046888,2822300,FAILURE,266543
26820,INDEPENDENT BANKERS' BANK,SPRINGFIELD,,12/18/2009,585508,511473,FAILURE,0
28536,"FIRST FEDERAL BANK OF CALIFORNIA,  A FEDERAL SAVINGS BANK",SANTA MONICA,,12/18/2009,6143903,4538607,FAILURE,0
32167,PEOPLES FIRST COMMUNITY BANK,PANAMA CITY,,12/18/2009,1795420,1684443,FAILURE,597058
32276,NEW SOUTH FEDERAL SAVINGS BANK,IRONDALE,,12/18/2009,1464127,1163916,FAILURE,311641
58315,ROCKBRIDGE COMMERCIAL BANK,ATLANTA,,12/18/2009,294024,291707,FAILURE,98837
4731,SOLUTIONSBANK,OVERLAND PARK,,12/11/2009,511103,421271,FAILURE,93393
22846,"REPUBLIC FEDERAL BANK, N.A.",MIAMI,,12/11/2009,433011,352695,FAILURE,77977
58399,"VALLEY CAPITAL BANK, N.A.",MESA,,12/11/2009,40270,41312,FAILURE,15047
10440,BENCHMARK BANK,AURORA,,12/4/2009,173062,182760,FAILURE,79321
12080,THE TATNALL BANK,REIDSVILLE,,12/4/2009,49612,47100,FAILURE,14705
26290,FIRST SECURITY NATIONAL BANK,NORCROSS,,12/4/2009,127455,121645,FAILURE,34282
29776,AMTRUST BANK,CLEVELAND,,12/4/2009,11438990,8558609,FAILURE,1686815
32583,GREATER ATLANTIC BANK,RESTON,,12/4/2009,203262,179248,FAILURE,26610
34663,THE BUCKHEAD COMMUNITY BANK,ATLANTA,,12/4/2009,856236,813668,FAILURE,310552
58016,COMMERCE BANK OF SOUTHWEST FLORIDA,FORT MYERS,,11/20/2009,70997,72821,FAILURE,32236
22427,ORION BANK,NAPLES,,11/13/2009,2612515,2169446,FAILURE,713129
32267,"CENTURY BANK, A FEDERAL SAVINGS BANK",SARASOTA,,11/13/2009,755923,659742,FAILURE,306877
57914,PACIFIC COAST NATIONAL BANK,SAN CLEMENTE,,11/13/2009,131418,128867,FAILURE,33470
19450,GATEWAY BANK OF ST LOUIS,ST LOUIS,,11/6/2009,26882,27534,FAILURE,11648
22286,UNITED SECURITY BANK,SPARTA,,11/6/2009,153639,149616,FAILURE,60895
30329,HOME FEDERAL SAVINGS BANK,DETROIT,,11/6/2009,12994,12730,FAILURE,8612
32469,UNITED COMMERCIAL BANK,SAN FRANCISCO,,11/6/2009,10895336,7653666,FAILURE,572640
35074,PROSPERAN BANK,OAKDALE,,11/6/2009,197442,182794,FAILURE,31685
11677,PARK NATIONAL BANK,CHICAGO,,10/30/2009,4680881,3716626,FAILURE,2992
18776,NORTH HOUSTON BANK,HOUSTON,,10/30/2009,325474,307166,FAILURE,12000
23594,SAN DIEGO NATIONAL BANK,SAN DIEGO,,10/30/2009,3594544,2891576,FAILURE,36350
25222,CITIZENS NATIONAL BANK,TEAGUE,,10/30/2009,118236,97590,FAILURE,5846
30006,PACIFIC NATIONAL BANK,SAN FRANCISCO,,10/30/2009,2319263,1757986,FAILURE,58567
32218,"BANK USA, NA",PHOENIX,,10/30/2009,213205,170685,FAILURE,11741
33782,MADISONVILLE STATE BANK,MADISONVILLE,,10/30/2009,256330,224653,FAILURE,0
34659,CALIFORNIA NATIONAL BANK,LOS ANGELES,,10/30/2009,7781100,6145207,FAILURE,182213
35291,COMMUNITY BANK OF LEMONT,LEMONT,,10/30/2009,81843,80688,FAILURE,25945
18321,BANK OF ELMWOOD,RACINE,,10/23/2009,327444,272782,FAILURE,99463
35038,FIRST DUPAGE BANK,WESTMONT,,10/23/2009,262093,253992,FAILURE,85319
35044,FLAGSHIP NATIONAL BANK,BRADENTON,,10/23/2009,177563,170118,FAILURE,62112
57525,RIVERVIEW COMMUNITY BANK,OSTEGO,,10/23/2009,99057,75012,FAILURE,23476
57794,AMERICAN UNITED BANK,LAWRENCEVILLE,,10/23/2009,110094,102386,FAILURE,44018
57959,PARTNERS BANK,NAPLES,,10/23/2009,65498,64798,FAILURE,31809
58336,HILLCREST BANK FLORIDA,NAPLES,,10/23/2009,82774,83254,FAILURE,42976
23266,SAN JOAQUIN BANK,BAKERSFIELD,,10/16/2009,766359,626359,FAILURE,79080
11416,JENNINGS STATE BANK,SPRING GROVE,,10/2/2009,52347,50801,FAILURE,18876
34824,WARREN BANK,WARREN,,10/2/2009,504816,467767,FAILURE,217487
57263,SOUTHERN COLORADO NATIONAL BANK,PUEBLO,,10/2/2009,37142,29568,FAILURE,8323
57151,GEORGIAN BANK,ATLANTA,,9/25/2009,2230230,1960123,FAILURE,960820
10100,IRWIN UNION BANK AND TRUST COMPANY,COLUMBUS,,9/18/2009,2839747,2254025,FAILURE,755962
57068,"IRWIN UNION BANK, FSB",LOUISVILLE,,9/18/2009,518151,462611,FAILURE,114006
13693,"CORUS BANK, N.A.",CHICAGO,,9/11/2009,7003321,7060693,FAILURE,0
22868,VENTURE BANK,LACEY,,9/11/2009,968385,917729,FAILURE,201128
57736,BRICKWELL COMMUNITY BANK,WOODBURY,,9/11/2009,72576,64981,FAILURE,24597
20203,INBANK,OAK FOREST,,9/4/2009,209848,209211,FAILURE,56911
25231,FIRST BANK OF KANSAS CITY,KANSAS CITY,,9/4/2009,15723,14479,FAILURE,7548
27732,VANTUS BANK,SIOUX CITY,,9/4/2009,503643,394369,FAILURE,101576
34875,FIRST STATE BANK,FLAGSTAFF,,9/4/2009,107235,95734,FAILURE,49833
35030,PLATINUM COMMUNITY BANK,ROLLING MEADOWS,,9/4/2009,147961,110186,FAILURE,0
1909,MAINSTREET BANK,FOREST LAKE,,8/28/2009,458533,432818,FAILURE,89930
27197,AFFINITY BANK,VENTURA,,8/28/2009,1211431,905593,FAILURE,234069
28312,BRADFORD BANK,BALTIMORE,,8/28/2009,451888,382159,FAILURE,46897
22130,CAPITALSOUTH BANK,BIRMINGHAM,,8/21/2009,586586,539422,FAILURE,126332
32618,GUARANTY BANK,AUSTIN,,8/21/2009,13464352,11984112,FAILURE,0
34682,EBANK,ATLANTA,,8/21/2009,144688,131510,FAILURE,49948
57702,FIRST COWETA,NEWNAN,,8/21/2009,163755,154903,FAILURE,66684
9609,COLONIAL BANK,MONTGOMERY,,8/14/2009,25455112,20072099,FAILURE,2368927
31559,DWELLING HOUSE SAVINGS AND LOAN,PITTSBURGH,,8/14/2009,12947,12984,FAILURE,8352
34043,COMMUNITY BANK OF NEVADA,LAS VEGAS,,8/14/2009,1397798,1372744,FAILURE,557962
34485,"UNION BANK, NATIONAL ASSOCIATION",GILBERT,,8/14/2009,119529,110362,FAILURE,51989
57645,COMMUNITY BANK OF ARIZONA,PHOENIX,,8/14/2009,158517,143834,FAILURE,26760
23268,COMMUNITY FIRST BANK,PRINEVILLE,,8/7/2009,199508,180691,FAILURE,73567
27183,COMMUNITY NATIONAL BANK OF SARASOTA COUNTY,VENICE,,8/7/2009,92528,92352,FAILURE,25369
27364,FIRST STATE BANK,SARASOTA,,8/7/2009,447667,394701,FAILURE,119466
9873,FIRST STATE BANK OF ALTUS,ALTUS,,7/31/2009,90867,98161,FAILURE,25969
18659,MUTUAL BANK,HARVEY,,7/31/2009,1595657,1546525,FAILURE,793841
32288,PEOPLES COMMUNITY BANK,WEST CHESTER,,7/31/2009,606153,538787,FAILURE,61523
34270,FIRST BANKAMERICANO,ELIZABTH,,7/31/2009,163372,155463,FAILURE,20048
57604,INTEGRITY BANK,JUPITER,,7/31/2009,105298,98511,FAILURE,36473
8486,SECURITY BANK OF JONES COUNTY,GRAY,,7/24/2009,432712,375238,FAILURE,98201
27048,SECURITY BANK OF HOUSTON COUNTY,PERRY,,7/24/2009,371624,313155,FAILURE,50980
27367,SECURITY BANK OF BIBB COUNTY,MACON,,7/24/2009,943744,831437,FAILURE,414269
57105,SECURITY BANK OF NORTH METRO,WOODSTOCK,,7/24/2009,184184,182413,FAILURE,102031
57346,SECURITY BANK OF GWINNETT COUNTY,SUWANNEE,,7/24/2009,259182,256578,FAILURE,193409
57430,SECURITY BANK OF NORTH FULTON,ALPHARETTA,,7/24/2009,190564,179523,FAILURE,49000
