permit_id,job_id,bbl,borough,permit_type,permit_status,work_type,filing_date,issuance_date,expiration_date,bldg_type,owner_business_name,owner_business_type,permittee_business_name
3747921,140890169,1013660001,MANHATTAN,EQ,ISSUED,EQ,2020-03-10 ,2020-03-10 ,2021-03-10,2,REPUBLIC SCAFFOLD & HOIST,CORPORATION,REPUBLIC SCAFFOLD&HOIST C
3748073,421424863,4013780033,QUEENS,AL,ISSUED,,2020-03-10 ,2020-03-10 ,2020-12-30,2,"98-18 ASTORIA BLVD REALTY, LLC",CORPORATION,B GREEN CONSTRUCTION CORP
3748223,540174531,5035720053,STATEN ISLAND,EW,ISSUED,OT,2020-03-10 ,2020-03-10 ,2020-11-15,1,N/A,INDIVIDUAL,VENTURE HOME SOLAR LLC
3748226,340507366,3017920034,BROOKLYN,EW,ISSUED,OT,2020-03-10 ,2020-03-10 ,2021-01-30,2,NONE,INDIVIDUAL,5D ARCHITECT AND ENGINEER
3743145,321946150,3011440050,BROOKLYN,PL,ISSUED,PL,2020-02-25 ,2020-03-10 ,2021-03-10,1,N/A,INDIVIDUAL,"AMC PLBG, HTG & CLNG, INC"
3747382,123689357,1010087503,MANHATTAN,EW,ISSUED,OT,2020-03-08 ,2020-03-08 ,2021-04-01,2,TISHMAN SPEYER,PARTNERSHIP,FINALY GENL CONTR CORP
3747391,123844313,1010240038,MANHATTAN,EW,ISSUED,OT,2020-03-09 ,2020-03-09 ,2021-04-01,2,SL GREEN REALTY CORP.,CORPORATION,FINALY GENL CONTR CORP
3747393,123856586,1013010023,MANHATTAN,EW,ISSUED,OT,2020-03-09 ,2020-03-09 ,2021-04-01,2,SL GREEN REALTY CORP.,CORPORATION,FINALY GENL CONTR CORP
3747542,440543798,4012720069,QUEENS,AL,ISSUED,OT,2020-03-09 ,2020-03-09 ,2021-03-09,2,GMP ENTERPRISES INC.,CORPORATION,GMP ENTERPRISES INC
3747657,103651264,1004220072,MANHATTAN,EQ,ISSUED,EQ,2020-03-09 ,2020-03-09 ,2021-03-09,2,NYC SCA,OTHER GOV'T AGENCY,LADI CONSTRUCTION INC
3747666,520330963,5057750056,STATEN ISLAND,NB,ISSUED,,2020-03-09 ,2020-03-09 ,2021-02-19,1,"ANAROSE ESTATES, LLC",PARTNERSHIP,MAXIMUM CONTRACTING INC
3747760,340683941,3080010033,BROOKLYN,EW,ISSUED,OT,2020-03-09 ,2020-03-09 ,2020-12-01,1,N/A,INDIVIDUAL,1ST LIGHT ENERGY INC
3747326,421600618,4052650001,QUEENS,FO,ISSUED,,2020-03-06 ,2020-03-09 ,2021-01-25,2,KNY 154 PROPERTY LLC,CORPORATION,US ONE CONSTRUCTION INC
2947887,520241079,5036730001,STATEN ISLAND,EQ,ISSUED,EQ,2015-09-22 ,2015-09-22 ,2016-09-21,1,N/A,INDIVIDUAL,ULTIMATE PAVERS CORP
408966,300264130,3001740001,BROOKLYN,EW,ISSUED,OT,1994-02-18 ,1994-02-18 ,1997-01-01,2,NY SCHOOL CONSTRUCTION AUTHORITY,OTHER,MERIS CONSTRUCTION CORPORATION
562269,101098349,1015190036,MANHATTAN,EW,ISSUED,BL,1995-09-07 ,1995-09-07 ,1996-09-04,2,1612 3RD AVE,PARTNERSHIP,DUAL FUEL PLUMBING & HEATING
3747298,220706029,2049050360,BRONX,EW,ISSUED,OT,2020-03-06 ,2020-03-06 ,2021-04-01,2,NEW YORK CITY HOUSING AUTHORITY,NYCHA/HHC,L & M BUILDERS GROUP LLC
3747301,440585760,4129390210,QUEENS,EW,ISSUED,OT,2020-03-06 ,2020-03-06 ,2020-12-31,1,N/A,INDIVIDUAL,"TRINITY HTG & AIR,INC"
3747307,123545226,1015290024,MANHATTAN,EW,ISSUED,OT,2020-03-06 ,2020-03-06 ,2020-10-12,2,N/A,INDIVIDUAL,WINWAY DEVELOPMENT LLC
3747318,321922915,3025780001,BROOKLYN,PL,ISSUED,PL,2020-03-06 ,2020-03-06 ,2021-03-06,2,"NEW CINGULAR WIRELESS PCS, LLC",PARTNERSHIP,P.A.C. HEATING INC
3747320,320910582,3003620001,BROOKLYN,PL,ISSUED,PL,2020-03-06 ,2020-03-06 ,2021-03-06,2,113 HAMILTON AVENUE LLC,PARTNERSHIP,B&B  MECH PLBG & HTG LLC
3747323,340498376,3021860001,BROOKLYN,EQ,ISSUED,EQ,2020-03-06 ,2020-03-06 ,2021-03-06,2,SKYWORX CONTRACTING INC,CORPORATION,JJS BUILDERS
3747324,340505180,3021860001,BROOKLYN,EQ,ISSUED,EQ,2020-03-06 ,2020-03-06 ,2021-03-06,2,SKYWORX CONTRACTING INC,PARTNERSHIP,JJS BUILDERS
3747325,321945295,3038820055,BROOKLYN,PL,ISSUED,PL,2020-03-06 ,2020-03-06 ,2021-03-06,2,"NEW CINGULAR WIRELESS PCS, LLC",PARTNERSHIP,P.A.C. HEATING INC
3747327,440588179,4054530017,QUEENS,EW,ISSUED,OT,2020-03-06 ,2020-03-06 ,2020-10-01,1,N/A,INDIVIDUAL,SUNRUN INSTALLATION SVC
3747330,440588231,4127200133,QUEENS,EW,ISSUED,OT,2020-03-06 ,2020-03-06 ,2020-11-15,1,N/A,INDIVIDUAL,VENTURE HOME SOLAR LLC
191777,400205210,4051340005,QUEENS,PL,ISSUED,PL,1991-11-26 ,1991-11-26 ,1992-04-20,2,A & V FOOD MARKET INC.,CORPORATION,MAGOR PLUMBING & HEATING
3746888,440585537,4022450046,QUEENS,EW,ISSUED,OT,2020-03-05 ,2020-03-06 ,2021-03-06,2,GRAND CENTRAL PARKWAY REALTY LLC,CORPORATION,MAMAN CONSTRUCTION CO.LLC
3746525,321656374,3022310014,BROOKLYN,FO,ISSUED,,2020-03-05 ,2020-03-05 ,2021-03-04,1,N/A,INDIVIDUAL,GS INTERIORS LLC
3746463,140888868,1012360029,MANHATTAN,EW,ISSUED,OT,2020-03-05 ,2020-03-05 ,2020-12-04,2,WEST 88 STREET LLC,PARTNERSHIP,NJF CONTRACTING CORP
3746543,440520090,4060010021,QUEENS,EW,ISSUED,OT,2020-03-05 ,2020-03-05 ,2021-03-01,1,CHABAD OF NORTHEASTERN QUEENS,CORPORATION,KAIETEUR CONSTRUCTION INC
3746663,123513536,1012000031,MANHATTAN,PL,ISSUED,PL,2020-03-05 ,2020-03-05 ,2021-03-05,2,N/A,CONDO/CO-OP,PAL-MAR PLBG & HTG INC
3746613,421858181,4096970012,QUEENS,EW,ISSUED,OT,2020-03-05 ,2020-03-05 ,2021-03-01,2,VENTURE HOUSE,CORPORATION,CHAMPION INTERNATIONAL CO
3746676,520315285,5066620016,STATEN ISLAND,NB,ISSUED,,2020-03-05 ,2020-03-05 ,2021-03-05,1,"PRINCES POINT VENTURE, LLC",PARTNERSHIP,KDC OF STATEN ISLAND INC
