bbl,borough,address,zip,bldg_class,land_use,year_built,num_floors,units_residential,units_total,lot_area_sqft,bldg_area_sqft,assess_total,owner_name,latitude,longitude
1013027501,MN,277 PARK AVENUE,10017,RC,5,1963,50.0000000,0,55,162672,1270270,398776655.00000,"277 PARK AVEENUE,LLC",40.7552509,-73.9742574
1019570001,MN,85 CONVENT AVENUE,10027,W5,8,1930,5.0000000,0,1,477375,400160,394376400.00000,CITY COLLEGE,40.8164482,-73.9511265
1010177501,MN,1535 BROADWAY,10036,RC,5,1995,50.0000000,0,11,74287,1971406,394329181.00000,UNAVAILABLE OWNER,40.7586262,-73.9861968
1010127501,MN,620 8 AVENUE,10018,RI,5,2003,52.0000000,0,57,79000,1259189,377682863.00000,NYC ECONOMIC DEVELOPMENT CORPORATION,40.7559285,-73.9897166
1016040006,MN,1440 MADISON AVENUE,10029,I1,8,1963,14.0000000,0,1,279985,2215000,377430750.00000,MOUNT SINAI HOSPITAL,40.7898746,-73.9532659
1010400029,MN,825 8 AVENUE,10019,O4,5,1987,49.0000000,0,23,58241,1596521,371571300.00000,"WWP OFFICE, LLC",40.7622302,-73.9869433
1007297505,MN,2 MANHATTAN WEST,10001,RC,5,2020,60.0000000,0,2,61719,1819686,370447920.00000,BOP SE LLC,40.7520863,-73.9979572
1010160036,MN,1515 BROADWAY,10036,O4,5,1970,54.0000000,0,1,65764,1721814,364841550.00000,1515 BROADWAY OWNER LLC,40.7579291,-73.9864388
1011340001,MN,60 COLUMBUS AVENUE,10023,P1,5,1964,5.0000000,0,0,316430,264420,361986300.00000,LINCOLN CENTER FOR THE PERFORMING ARTS,40.7727174,-73.9838579
1000160260,MN,200 WEST STREET,10282,O4,5,2009,45.0000000,0,6,97076,2157862,354559500.00000,GOLDMAN SACHS HEADQUARTERS LLC,40.7147238,-74.0144434
1005960002,MN,532 WASHINGTON STREET,10014,O3,5,1933,12.0000000,0,1,141417,1009855,351305100.00000,550 WASHINGTON OWNER (DE) LLC,40.7281846,-74.0100410
1000160125,MN,225 LIBERTY STREET,10280,O4,5,1987,44.0000000,0,1,199346,2267925,349808850.00000,WFP TOWER B CO LP,40.7124538,-74.0153050
1013540001,MN,752 1 AVENUE,10017,Z5,8,1952,39.0000000,0,0,659375,2400000,342517500.00000,"DADA, LLC",40.7503498,-73.9674669
1009947501,MN,1095 AVENUE OF THE AMER,10036,RI,5,1972,41.0000000,0,11,56781,1041794,333448401.00000,1095 AVE OF THE AMERICAS CONDO,40.7547532,-73.9850065
1013047501,MN,301 PARK AVENUE,10017,RM,4,1930,47.0000000,319,696,81337,1206155,330021045.00000,UNAVAILABLE OWNER,40.7565023,-73.9733510
1009620100,MN,462 1 AVENUE,10016,I1,8,1910,17.0000000,0,1,753175,2124441,327565350.00000,NYC HEALTH AND HOSPITALS CORPORATION,40.7387469,-73.9753428
1008530002,MN,1 MADISON AVENUE,10010,O4,5,1932,26.0000000,0,25,77577,1233394,312231600.00000,1 MADISON OFFICE FEE LLC,40.7408623,-73.9869006
1007297507,MN,450 WEST 33RD STREET,10001,RC,5,1969,14.0000000,0,2,134932,1438273,308137500.00000,450 PARTNERS LLC,40.7530442,-73.9994478
1012760058,MN,300 MADISON AVENUE,10017,O4,5,2002,36.0000000,0,2,45839,1142417,306146700.00000,BFP 300 MADISON II LL,40.7526473,-73.9800333
1009997501,MN,1568A BROADWAY,10036,RC,5,1989,47.0000000,0,2,21758,498782,302308344.00000,UNAVAILABLE OWNER,40.7587852,-73.9842223
1012640005,MN,1230 AVENUE OF THE AMER,10020,O9,5,1939,22.0000000,0,230,142087,1898155,302109750.00000,RCPI HOLDCO LCC ATTN: KELLEY MARBURY,40.7584194,-73.9798403
1000327501,MN,43 WATER STREET,10004,RB,5,1973,53.0000000,0,52,160692,3583167,299918713.00000,NEW WATER STREET CORP.,40.7031826,-74.0091536
1012617501,MN,1166 AVENUE OF THE AMER,10036,RC,5,1975,44.0000000,0,46,59873,1204839,295659359.00000,UNAVAILABLE OWNER,40.7568196,-73.9818513
1009627501,MN,433 EAST 30 STREET,10016,RA,8,1900,,0,8,362642,2216199,292990050.00000,NYU HOSPITALS CENTER,40.7435471,-73.9734175
1012890014,MN,512 MADISON AVENUE,10022,O4,5,1982,43.0000000,0,29,43532,1015287,291504600.00000,"520 MADISON OWNERS, L.L.C. ATTN: TRACEY FRAZZETTA",40.7602573,-73.9744757
1000160140,MN,200 VESEY STREET,10281,O4,5,1986,54.0000000,0,12,82617,2233692,286434900.00000,AMERICAN EXPRESS CO,40.7135353,-74.0148688
1014800001,MN,1176 YORK AVENUE,10065,I1,8,1956,27.0000000,0,1,275925,2230742,284492250.00000,SOCIETY OF THE NY HOSPITAL,40.7644532,-73.9541429
1010197502,MN,1585 BROADWAY,10036,RC,5,1987,42.0000000,0,42,50657,1028336,277465714.00000,MS FINANCING INC,40.7599766,-73.9855071
1012967502,MN,150 EAST 42 STREET,10017,RC,5,1955,42.0000000,0,55,82950,1241644,271547213.00000,150 HG VENTURE LLC,40.7507580,-73.9755188
1000627501,MN,1 LIBERTY PLAZA,10006,RB,5,1973,54.0000000,0,17,95348,1690747,270358204.00000,ONE LIBERTY PLAZA CONDO,40.7097535,-74.0108426
1010680001,MN,424 10 AVENUE,10019,I1,8,1992,16.0000000,0,1,100959,1104505,262383750.00000,ST LUKES-ROOSEVELT HOSP,40.7696958,-73.9868877
1013070001,MN,375 PARK AVENUE,10022,O4,5,1958,38.0000000,0,102,59950,849014,259330050.00000,375 PARK FEE LLC,40.7584563,-73.9721482
1010067502,MN,1335 AVENUE OF THE AMER,10019,RH,5,1963,46.0000000,0,5,91633,1440995,257918850.00000,UNAVAILABLE OWNER,40.7624432,-73.9797127
1012727503,MN,730 5 AVENUE,10019,RM,4,1921,26.0000000,22,109,26360,333666,257647306.00000,UNAVAILABLE OWNER,40.7628622,-73.9747238
1005547501,MN,770 BROADWAY,10003,RC,5,1906,15.0000000,0,3,62582,1004720,255384451.00000,770 BROADWAY OWNER LL,40.7305974,-73.9915137
1012809090,MN,100 EAST 45 STREET,10017,O4,5,1990,38.0000000,0,1,60700,916553,254650950.00000,UNITED STATES POSTAL SERVICE,,
1010260055,MN,250 WEST 55 STREET,10019,O4,5,2008,40.0000000,0,1,46442,843564,253665900.00000,GLADDEN PROPERTIES LLC,40.7648921,-73.9835277
1009987501,MN,1538 BROADWAY,10036,RC,5,1989,42.0000000,0,5,38700,919865,253534958.00000,BERTELSMANN PROPERTY,40.7580744,-73.9848469
1012910010,MN,550 MADISON AVENUE,10022,O4,5,1984,37.0000000,0,7,36803,685125,252490950.00000,OAC 550 OWNER LLC,40.7614621,-73.9735042
1012880027,MN,57 EAST 52 STREET,10055,O4,5,1980,40.0000000,0,20,38314,1064223,252359550.00000,PARK AVENUE PLAZA OWNER LLC,40.7591236,-73.9736712
1000840036,MN,7 WORLD TRADE CENTER,10007,O4,5,2006,52.0000000,0,59,47250,1636000,249905250.00000,PORT AUTHORITY OF NY AND NJ,40.7133325,-74.0118748
1012820021,MN,383 MADISON AVENUE,10017,O4,5,1999,44.0000000,0,3,43313,1174988,248619600.00000,METROPOLITAN TRANSPORTATION AUTHORITY,40.7554682,-73.9767262
1012820017,MN,390 MADISON AVENUE,10017,O4,5,1953,32.0000000,0,4,38160,821165,246759750.00000,NYS COMMON RETIREMENT FUND,40.7558198,-73.9776537
1013100001,MN,425 PARK AVENUE,10022,O4,5,1957,43.0000000,0,0,27950,666996,246465450.00000,425 PARK AVE GROUND OWNER LLC,40.7604294,-73.9710356
1010520001,MN,576 10 AVENUE,10036,D6,4,1976,46.0000000,1689,1709,160664,2099504,244691550.00000,MANHATTAN PLAZA INC,40.7593899,-73.9937914
1002487501,MN,225 CHERRY STREET,10002,RM,4,2015,72.0000000,1021,1023,94619,1099034,244288394.00000,CPS FEE COMPANY LLC,40.7104563,-73.9912386
1000047501,MN,1 WATER STREET,10004,RC,5,1969,50.0000000,0,63,111382,1888126,242934758.00000,ONE NY PLAZA CO LLC,40.7021531,-74.0120207
1000160150,MN,250 VESEY STREET,10281,O4,5,1986,34.0000000,0,1,103028,2084079,240795000.00000,WFP TOWER D CO LP,40.7140320,-74.0158826
1010297502,MN,217 WEST 57TH STREET,10019,RM,4,2013,98.0000000,179,180,55862,878615,240703214.00000,"BROADWAY 57TH/58TH RETAIL INVESTOR, LLC",40.7664727,-73.9812674
1013290001,MN,919 3 AVENUE,10022,O4,5,1970,46.0000000,0,55,64768,1323432,240062850.00000,SL GREEN REALTY CORP.,40.7589628,-73.9675890
1001440040,MN,56 HUDSON STREET,10013,O4,5,1930,23.0000000,0,144,52439,802000,237554550.00000,60 HUDSON OWNERS LLC,40.7176558,-74.0083403
1010137501,MN,640 8 AVENUE,10036,RC,5,2007,40.0000000,0,2,37854,789726,233712000.00000,UNAVAILABLE OWNER,40.7566394,-73.9895901
1012950001,MN,101 PARK AVENUE,10016,O4,5,1982,46.0000000,0,39,52831,1088389,232541100.00000,101 PARK AVENUE ASSOCIATES II LLC,40.7508737,-73.9777565
1013030001,MN,299 PARK AVENUE,10017,O4,5,1966,42.0000000,0,16,40166,1039281,232485300.00000,FISHER PARK LANE OWNER LLC,40.7560139,-73.9741380
1007027503,MN,34 HUDSON YARDS,10001,RM,4,2015,71.0000000,143,147,50168,820201,231259962.00000,ERY NORTH TOWER RHC TENANT LLC,40.7545621,-74.0022378
1008400042,MN,424 5 AVENUE,10018,O6,5,1920,14.0000000,0,2,51271,693256,229179600.00000,AMAZON.COM SERVICES LLC,40.7514977,-73.9830654
1013070023,MN,599 LEXINGTON AVENUE,10022,O4,5,1985,47.0000000,0,36,45022,984485,228486150.00000,BP 599 LEXINGTON AVENUE LLC,40.7578658,-73.9707515
1000160100,MN,345 SOUTH END AVENUE,10280,D6,4,1983,5.0000000,1712,1722,220732,1881621,227186550.00000,BATTERY PARK CITY AUTHORY,40.7110565,-74.0170361
1012840026,MN,33 EAST 48 STREET,10017,O4,5,1968,40.0000000,0,74,35200,810426,226363050.00000,BROADWAY  240 PARK FEE LLC,40.7566235,-73.9755455
1006720001,MN,601 WEST 26 STREET,10001,O6,5,1931,19.0000000,0,264,124100,1835150,225658350.00000,RXR SL OWNER LLC,40.7515838,-74.0065544
1019730001,MN,530 WEST 120 STREET,10027,W6,8,1901,7.0000000,0,1,734180,1368870,225608850.00000,COLUMBIA UNIVERSITY,40.8086626,-73.9615250
1009940001,MN,1459 BROADWAY,10036,O4,5,2002,48.0000000,0,70,22448,1079378,224797500.00000,NYC DEPARTMENT OF CITYWIDE ADMINISTRATIVE SERVICES,40.7555193,-73.9868868
1007027502,MN,553 WEST 30 STREET,10001,RM,4,2015,70.0000000,392,395,81408,837736,223965914.00000,UNAVAILABLE OWNER,40.7532665,-74.0028405
1005240066,MN,100 BLEECKER STREET,10012,W6,8,1967,30.0000000,397,399,183844,1181372,222829650.00000,NEW YORK UNIVERSITY,40.7267934,-73.9979543
1000400003,MN,60 WALL STREET,10005,O4,5,1987,47.0000000,0,1,53632,1617206,222423664.00000,60 WALL OWNER LP,40.7062404,-74.0085048
1007130001,MN,75 9 AVENUE,10011,O6,5,1905,8.0000000,0,167,165200,1100533,220685400.00000,MANHATTAN CHELSEA MARKET LLC,40.7425509,-74.0060555
1006730001,MN,261 11 AVENUE,10001,O6,5,1892,14.0000000,0,3,136000,1161731,219748500.00000,TERMINAL FEE OWNER LP,40.7522371,-74.0061935
1012877501,MN,641 5 AVENUE,10022,RM,4,1973,51.0000000,224,225,25602,726931,217516501.00000,OLYMPIC TOWERS CONDO,40.7591982,-73.9760860
1000440001,MN,28 LIBERTY STREET,10005,O4,5,1964,60.0000000,0,16,112555,2224200,215353800.00000,SUMMIT GLORY PROPERTY LLC,40.7077691,-74.0091254
1009960029,MN,1133 AVENUE OF THE AMER,10036,O4,5,1968,44.0000000,0,44,42050,1039529,215108550.00000,DOLP 1133 PROPERTIES III LLC,40.7560568,-73.9838656
